player_id, year, batter_hand, batters_faced, hits, doubles, triples, home_runs, walks, strikeouts, intentional_walks, hit_batters
501593.0, 2014, L, 102, 23, 4, 0, 2, 10, 15, 1, 2
501593.0, 2014, R, 91, 24, 5, 1, 0, 11, 10, 6, 1
501593.0, 2015, L, 100, 26, 4, 0, 2, 3, 24, 0, 0
501593.0, 2015, R, 120, 22, 3, 1, 4, 12, 25, 2, 1
518420.0, 2014, L, 30, 3, 0, 0, 2, 3, 6, 1, 0
518420.0, 2014, R, 42, 11, 2, 1, 3, 1, 14, 0, 0
518420.0, 2015, L, 27, 5, 0, 0, 3, 4, 3, 2, 0
518420.0, 2015, R, 32, 6, 1, 0, 2, 4, 9, 0, 0
446099.0, 2014, L, 114, 17, 4, 0, 2, 20, 30, 3, 1
446099.0, 2014, R, 129, 26, 5, 0, 4, 16, 33, 0, 1
446099.0, 2015, L, 111, 25, 3, 0, 1, 14, 29, 3, 0
446099.0, 2015, R, 139, 31, 5, 0, 3, 18, 33, 1, 0
488674.0, 2014, L, 114, 25, 8, 1, 1, 10, 10, 2, 2
488674.0, 2014, R, 175, 45, 9, 0, 0, 9, 30, 3, 0
488674.0, 2015, L, 132, 31, 8, 2, 2, 12, 12, 2, 0
488674.0, 2015, R, 153, 40, 5, 0, 2, 8, 24, 2, 0
520980.0, 2014, L, 42, 7, 1, 0, 2, 2, 9, 1, 0
520980.0, 2014, R, 50, 9, 0, 0, 1, 3, 9, 0, 0
520980.0, 2015, L, 56, 13, 4, 1, 1, 4, 16, 0, 0
520980.0, 2015, R, 152, 34, 12, 0, 3, 7, 44, 1, 1
457732.0, 2015, L, 15, 2, 0, 0, 0, 2, 3, 0, 0
457732.0, 2015, R, 26, 7, 1, 0, 2, 3, 3, 1, 0
456701.0, 2014, L, 264, 62, 13, 1, 5, 26, 43, 1, 4
456701.0, 2014, R, 340, 72, 16, 0, 11, 19, 81, 0, 3
456701.0, 2015, L, 21, 10, 2, 0, 2, 1, 2, 1, 0
456701.0, 2015, R, 30, 6, 2, 0, 1, 3, 1, 1, 0
435044.0, 2014, L, 172, 42, 9, 1, 10, 9, 36, 1, 0
435044.0, 2014, R, 160, 40, 15, 1, 5, 5, 19, 2, 2
435044.0, 2015, L, 14, 4, 1, 0, 1, 1, 1, 0, 0
435044.0, 2015, R, 31, 7, 3, 0, 3, 2, 7, 0, 0
444446.0, 2015, L, 31, 4, 1, 0, 0, 8, 5, 0, 0
444446.0, 2015, R, 46, 13, 3, 1, 3, 5, 8, 0, 1
346797.0, 2014, L, 140, 23, 7, 3, 2, 23, 33, 2, 1
346797.0, 2014, R, 130, 26, 2, 3, 1, 18, 24, 1, 0
346797.0, 2015, L, 10, 2, 1, 0, 0, 3, 0, 0, 1
346797.0, 2015, R, 11, 1, 0, 0, 1, 1, 0, 0, 0
544365.0, 2015, L, 34, 8, 1, 0, 1, 5, 5, 0, 1
544365.0, 2015, R, 87, 22, 5, 0, 3, 7, 14, 0, 2
598264.0, 2014, L, 15, 5, 2, 0, 1, 0, 4, 0, 0
598264.0, 2014, R, 24, 6, 3, 0, 0, 2, 4, 0, 0
598264.0, 2015, L, 92, 23, 7, 0, 2, 8, 15, 0, 1
598264.0, 2015, R, 107, 33, 3, 0, 7, 7, 24, 0, 1
607457.0, 2015, L, 41, 5, 1, 0, 1, 10, 10, 1, 0
607457.0, 2015, R, 57, 7, 4, 0, 0, 8, 20, 1, 0
502578.0, 2014, L, 62, 14, 5, 0, 0, 9, 14, 2, 0
502578.0, 2014, R, 112, 19, 3, 0, 1, 11, 35, 0, 1
502578.0, 2015, L, 38, 7, 1, 1, 0, 2, 5, 0, 1
502578.0, 2015, R, 85, 21, 3, 0, 1, 5, 30, 0, 2
542914.0, 2014, L, 62, 15, 3, 0, 2, 3, 5, 1, 1
542914.0, 2014, R, 57, 17, 1, 0, 4, 4, 2, 0, 1
542914.0, 2015, L, 119, 29, 5, 2, 2, 13, 15, 0, 1
542914.0, 2015, R, 153, 37, 12, 2, 3, 7, 30, 1, 0
605135.0, 2014, L, 74, 20, 4, 0, 0, 8, 12, 1, 2
605135.0, 2014, R, 63, 14, 4, 0, 0, 5, 9, 0, 1
605135.0, 2015, L, 212, 40, 9, 2, 3, 22, 36, 0, 4
605135.0, 2015, R, 149, 38, 9, 0, 2, 8, 28, 0, 5
455374.0, 2014, L, 97, 14, 3, 2, 2, 15, 28, 0, 0
455374.0, 2014, R, 174, 29, 9, 1, 2, 19, 53, 4, 2
455374.0, 2015, L, 73, 9, 0, 1, 1, 6, 19, 0, 2
455374.0, 2015, R, 166, 30, 6, 0, 3, 20, 45, 2, 1
545333.0, 2014, L, 330, 71, 11, 1, 9, 38, 77, 3, 3
545333.0, 2014, R, 333, 80, 22, 0, 7, 22, 66, 1, 8
545333.0, 2015, L, 377, 73, 12, 1, 12, 47, 80, 0, 2
545333.0, 2015, R, 367, 79, 17, 3, 11, 32, 90, 1, 3
545404.0, 2015, L, 16, 3, 1, 0, 1, 1, 3, 1, 0
545404.0, 2015, R, 23, 7, 3, 0, 0, 5, 2, 1, 0
518444.0, 2014, L, 7, 3, 0, 0, 1, 0, 1, 0, 0
518444.0, 2014, R, 9, 3, 0, 0, 1, 0, 0, 0, 0
571476.0, 2015, L, 20, 7, 3, 0, 0, 3, 2, 0, 0
571476.0, 2015, R, 11, 3, 0, 1, 0, 1, 1, 0, 0
277417.0, 2014, L, 247, 56, 16, 0, 13, 23, 58, 1, 0
277417.0, 2014, R, 228, 40, 10, 0, 4, 16, 49, 1, 5
407853.0, 2014, L, 85, 21, 8, 0, 3, 7, 20, 0, 0
407853.0, 2014, R, 257, 63, 13, 0, 7, 22, 44, 0, 2
592135.0, 2014, L, 50, 14, 3, 0, 2, 10, 10, 1, 0
592135.0, 2014, R, 43, 9, 2, 0, 0, 2, 10, 0, 0
592135.0, 2015, L, 55, 18, 2, 0, 2, 7, 9, 1, 1
592135.0, 2015, R, 101, 22, 5, 1, 1, 12, 25, 1, 1
542923.0, 2014, L, 23, 5, 1, 1, 0, 6, 2, 1, 0
542923.0, 2014, R, 23, 5, 1, 0, 0, 1, 4, 0, 0
542923.0, 2015, L, 23, 9, 2, 0, 0, 4, 2, 2, 0
542923.0, 2015, R, 23, 5, 2, 0, 0, 3, 5, 0, 0
279571.0, 2014, L, 126, 33, 3, 2, 4, 11, 26, 2, 1
279571.0, 2014, R, 156, 41, 10, 0, 1, 8, 17, 0, 0
279571.0, 2015, L, 56, 11, 1, 1, 1, 7, 10, 1, 3
