player_id, pitcher_hand, batter_hand, pitch_type, count, speed, h_mov, v_mov, h_rel, v_rel
594760, R, L, Curve, 88, 78.230000, 3.240000, -4.750000, -1.930000, 5.710000
605156, R, R, Fourseam, 236, 92.470000, -6.590000, 9.420000, -1.930000, 6.500000
605156, R, R, Sinker, 56, 91.280000, -8.540000, 6.920000, -2.070000, 6.490000
605156, R, R, Change, 50, 82.890000, -9.580000, 2.350000, -2.320000, 6.310000
605156, R, R, Slider, 117, 85.960000, 1.250000, 3.430000, -2.150000, 6.370000
605156, R, R, Curve, 12, 78.560000, 7.960000, -2.550000, -2.240000, 6.360000
605156, R, L, Fourseam, 191, 92.610000, -6.560000, 9.180000, -2.070000, 6.410000
605156, R, L, Sinker, 64, 91.760000, -8.640000, 6.720000, -2.200000, 6.400000
605156, R, L, Change, 141, 83.410000, -8.480000, 2.500000, -2.440000, 6.250000
605156, R, L, Slider, 17, 85.740000, 2.030000, 3.140000, -2.240000, 6.320000
605156, R, L, Curve, 29, 77.870000, 7.740000, -1.940000, -2.330000, 6.410000
421685, R, R, Fourseam, 586, 90.200000, -5.410000, 10.580000, -1.920000, 6.730000
421685, R, R, Sinker, 206, 90.580000, -8.510000, 7.570000, -1.950000, 6.690000
421685, R, R, Change, 79, 85.570000, -7.790000, 5.500000, -2.040000, 6.640000
421685, R, R, Slider, 389, 81.890000, 1.770000, 1.550000, -1.770000, 6.830000
421685, R, R, Curve, 54, 74.590000, 2.700000, -5.150000, -1.780000, 6.770000
421685, R, R, Cutter, 140, 88.590000, -1.830000, 10.110000, -1.800000, 6.780000
421685, R, L, Fourseam, 332, 90.520000, -5.690000, 10.180000, -1.850000, 6.760000
421685, R, L, Sinker, 478, 90.180000, -8.280000, 7.120000, -1.990000, 6.700000
421685, R, L, Change, 209, 84.650000, -7.160000, 6.210000, -1.960000, 6.680000
421685, R, L, Slider, 113, 82.060000, 1.570000, 1.380000, -1.720000, 6.860000
421685, R, L, Curve, 68, 73.660000, 3.070000, -5.480000, -1.790000, 6.750000
421685, R, L, Cutter, 64, 88.460000, -1.880000, 9.920000, -1.870000, 6.790000
444836, L, R, Fourseam, 11, 86.670000, 2.350000, 8.110000, 1.110000, 6.270000
444836, L, R, Sinker, 13, 85.250000, 7.440000, 5.590000, 1.480000, 6.010000
444836, L, R, Change, 6, 82.290000, 5.320000, 5.540000, 1.340000, 6.070000
444836, L, R, Slider, 3, 77.990000, -5.930000, -0.510000, 1.260000, 6.110000
444836, L, R, Cutter, 40, 85.380000, 0.130000, 4.480000, 1.280000, 6.110000
444836, L, L, Fourseam, 12, 87.550000, 2.520000, 8.540000, 0.960000, 6.290000
444836, L, L, Sinker, 3, 84.630000, 7.780000, 5.200000, 1.590000, 6.060000
444836, L, L, Change, 1, 80.620000, 2.520000, 4.640000, 1.330000, 6.030000
444836, L, L, Slider, 3, 77.800000, -6.990000, -0.560000, 1.250000, 6.260000
444836, L, L, Cutter, 25, 85.750000, 0.030000, 4.450000, 1.190000, 6.120000
571901, L, R, Sinker, 368, 93.490000, 12.810000, 3.930000, 4.290000, 5.020000
571901, L, R, Change, 183, 82.630000, 13.010000, 0.650000, 4.390000, 4.740000
571901, L, R, Slider, 16, 82.200000, -2.060000, -1.290000, 4.410000, 5.080000
571901, L, R, Curve, 10, 76.720000, -5.370000, -6.340000, 4.480000, 4.700000
571901, L, L, Sinker, 293, 93.080000, 12.650000, 4.320000, 4.270000, 4.950000
571901, L, L, Change, 5, 80.830000, 12.300000, 0.220000, 4.160000, 4.500000
571901, L, L, Slider, 67, 82.720000, -1.280000, -1.330000, 4.230000, 5.020000
571901, L, L, Curve, 60, 76.470000, -6.260000, -5.290000, 4.380000, 4.640000
605400, R, R, Fourseam, 426, 91.250000, -7.470000, 6.150000, -2.810000, 5.040000
605400, R, R, Sinker, 567, 90.770000, -10.010000, 3.210000, -2.300000, 4.990000
605400, R, R, Change, 94, 82.180000, -7.840000, -0.060000, -2.650000, 4.860000
605400, R, R, Curve, 567, 76.980000, 10.220000, -6.180000, -2.360000, 5.110000
605400, R, L, Fourseam, 287, 91.080000, -7.410000, 5.860000, -2.720000, 5.060000
605400, R, L, Sinker, 493, 90.480000, -9.850000, 2.830000, -2.280000, 4.990000
605400, R, L, Change, 192, 82.460000, -7.490000, -0.260000, -2.590000, 4.830000
605400, R, L, Curve, 324, 76.930000, 10.470000, -6.270000, -2.210000, 5.080000
592717, R, R, Fourseam, 328, 95.570000, -5.850000, 8.770000, -1.550000, 6.160000
592717, R, R, Sinker, 1389, 95.560000, -9.140000, 6.340000, -1.580000, 6.110000
592717, R, R, Change, 76, 89.270000, -10.080000, 4.550000, -1.620000, 6.040000
592717, R, R, Slider, 8, 84.480000, 3.900000, 0.410000, -1.720000, 6.140000
592717, R, R, Curve, 291, 79.200000, 7.720000, -8.900000, -1.490000, 6.120000
592717, R, R, Cutter, 28, 93.230000, 0.250000, 4.430000, -1.630000, 6.070000
592717, R, L, Fourseam, 498, 95.480000, -5.710000, 8.940000, -1.560000, 6.150000
592717, R, L, Sinker, 1329, 95.740000, -9.010000, 6.350000, -1.640000, 6.100000
592717, R, L, Change, 261, 89.230000, -9.810000, 4.260000, -1.670000, 6.000000
592717, R, L, Slider, 4, 84.900000, 5.420000, -0.230000, -1.650000, 6.250000
592717, R, L, Curve, 430, 79.320000, 7.930000, -8.860000, -1.550000, 6.100000
592717, R, L, Cutter, 30, 92.550000, -0.810000, 4.520000, -1.690000, 6.010000
457744, L, R, Fourseam, 129, 90.370000, 4.280000, 10.920000, 1.070000, 6.500000
457744, L, R, Sinker, 4, 90.620000, 7.890000, 7.110000, 1.420000, 6.340000
457744, L, R, Change, 32, 83.430000, 7.890000, 6.660000, 1.550000, 6.240000
457744, L, R, Slider, 91, 81.600000, -0.120000, 0.790000, 1.460000, 6.270000
457744, L, R, Curve, 2, 73.420000, -3.220000, -3.560000, 1.590000, 6.190000
457744, L, L, Fourseam, 86, 90.990000, 4.780000, 10.710000, 2.330000, 6.510000
457744, L, L, Slider, 146, 82.350000, 0.300000, 1.090000, 2.750000, 6.280000
