player_id, year, pitcher_hand, plate_appearences, hits, doubles, triples, home_runs, walks, strikeouts, intentional_walks, hit_by_pitch
542883.0, 2015, R, 1, 0, 0, 0, 0, 0, 0, 0, 0
493114.0, 2014, L, 140, 45, 7, 1, 0, 12, 11, 0, 2
493114.0, 2014, R, 409, 95, 15, 5, 1, 31, 38, 0, 4
493114.0, 2015, L, 111, 33, 2, 1, 0, 8, 8, 0, 3
493114.0, 2015, R, 281, 69, 10, 2, 5, 22, 17, 0, 3
542455.0, 2014, L, 142, 26, 4, 1, 3, 10, 46, 0, 1
542455.0, 2014, R, 268, 60, 12, 2, 17, 21, 81, 4, 5
542455.0, 2015, L, 25, 7, 0, 0, 0, 0, 5, 0, 1
542455.0, 2015, R, 40, 9, 0, 0, 2, 4, 10, 4, 1
571448.0, 2014, L, 128, 35, 4, 2, 8, 11, 14, 1, 2
571448.0, 2014, R, 339, 89, 30, 0, 10, 14, 44, 0, 2
571448.0, 2015, L, 156, 36, 9, 0, 5, 15, 22, 9, 1
571448.0, 2015, R, 509, 141, 34, 4, 37, 19, 88, 4, 3
450317.0, 2014, L, 76, 16, 5, 0, 5, 4, 20, 0, 3
450317.0, 2014, R, 146, 20, 4, 0, 5, 6, 42, 0, 4
450317.0, 2015, L, 29, 7, 0, 0, 2, 1, 11, 0, 0
450317.0, 2015, R, 44, 15, 3, 0, 4, 0, 11, 0, 0
435078.0, 2014, L, 112, 32, 8, 0, 0, 6, 9, 1, 0
435078.0, 2014, R, 92, 17, 1, 0, 0, 2, 14, 1, 0
435078.0, 2015, L, 36, 9, 1, 0, 0, 0, 7, 0, 0
435078.0, 2015, R, 23, 3, 0, 0, 1, 0, 5, 0, 0
605125.0, 2014, L, 89, 22, 3, 0, 3, 6, 26, 0, 0
605125.0, 2014, R, 345, 78, 22, 0, 7, 27, 76, 4, 0
605125.0, 2015, L, 83, 18, 3, 0, 1, 5, 23, 0, 0
605125.0, 2015, R, 373, 86, 19, 3, 11, 21, 88, 3, 4
488671.0, 2014, L, 116, 24, 5, 0, 1, 7, 42, 0, 2
488671.0, 2014, R, 341, 61, 17, 0, 10, 54, 109, 1, 1
488671.0, 2015, L, 36, 4, 1, 0, 0, 5, 13, 0, 0
488671.0, 2015, R, 183, 30, 4, 0, 4, 35, 53, 0, 0
449107.0, 2014, L, 150, 36, 8, 0, 2, 6, 17, 0, 0
449107.0, 2014, R, 224, 49, 8, 1, 3, 7, 32, 0, 1
449107.0, 2015, L, 171, 37, 4, 0, 4, 13, 21, 0, 1
449107.0, 2015, R, 146, 30, 6, 0, 1, 7, 17, 0, 0
430947.0, 2014, L, 171, 40, 8, 2, 1, 8, 15, 1, 0
430947.0, 2014, R, 471, 124, 22, 2, 6, 28, 47, 3, 5
430947.0, 2015, L, 178, 47, 8, 0, 0, 3, 20, 0, 0
430947.0, 2015, R, 460, 114, 22, 1, 3, 22, 53, 1, 4
595879.0, 2014, L, 54, 7, 1, 0, 3, 4, 26, 0, 1
595879.0, 2014, R, 175, 29, 5, 0, 6, 11, 69, 0, 0
595879.0, 2015, L, 20, 8, 4, 0, 0, 1, 5, 0, 0
595879.0, 2015, R, 60, 14, 2, 0, 1, 3, 19, 1, 0
425557.0, 2014, L, 130, 38, 7, 2, 2, 8, 22, 1, 1
425557.0, 2014, R, 95, 17, 3, 2, 1, 5, 29, 0, 0
425557.0, 2015, L, 59, 11, 3, 0, 3, 6, 19, 0, 0
425557.0, 2015, R, 21, 4, 0, 0, 0, 2, 6, 0, 0
434633.0, 2014, L, 36, 5, 2, 0, 0, 3, 17, 0, 0
434633.0, 2014, R, 171, 30, 5, 0, 0, 16, 41, 3, 2
542908.0, 2015, L, 2, 1, 0, 0, 1, 0, 0, 0, 0
425549.0, 2014, L, 22, 5, 1, 0, 0, 0, 5, 0, 1
425549.0, 2014, R, 94, 20, 4, 0, 0, 9, 13, 2, 3
425549.0, 2015, L, 108, 24, 7, 0, 2, 6, 30, 2, 2
425549.0, 2015, R, 116, 24, 7, 1, 1, 4, 25, 0, 2
605131.0, 2015, L, 16, 2, 1, 0, 0, 3, 1, 0, 1
605131.0, 2015, R, 21, 4, 1, 0, 0, 3, 5, 0, 0
488681.0, 2014, L, 122, 29, 8, 0, 0, 8, 29, 0, 0
488681.0, 2014, R, 191, 46, 9, 4, 8, 7, 71, 0, 0
488681.0, 2015, L, 75, 15, 1, 0, 0, 7, 25, 3, 1
488681.0, 2015, R, 206, 49, 12, 2, 2, 14, 42, 0, 2
446381.0, 2014, L, 79, 19, 3, 1, 0, 8, 11, 1, 1
446381.0, 2014, R, 183, 38, 8, 1, 3, 9, 23, 1, 3
446381.0, 2015, L, 10, 3, 1, 0, 1, 0, 0, 0, 0
446381.0, 2015, R, 20, 4, 0, 0, 1, 1, 2, 0, 0
571466.0, 2014, L, 12, 1, 0, 0, 0, 0, 2, 0, 0
571466.0, 2014, R, 48, 9, 0, 0, 1, 4, 8, 1, 0
571466.0, 2015, L, 52, 8, 0, 0, 0, 5, 8, 0, 0
571466.0, 2015, R, 222, 53, 9, 0, 3, 20, 37, 5, 2
430583.0, 2014, R, 4, 0, 0, 0, 0, 0, 3, 0, 1
435558.0, 2014, L, 15, 3, 1, 0, 0, 0, 4, 0, 0
435558.0, 2014, R, 49, 6, 0, 0, 0, 5, 10, 0, 1
430832.0, 2014, L, 138, 40, 3, 0, 10, 21, 19, 4, 1
430832.0, 2014, R, 535, 118, 24, 0, 25, 83, 77, 7, 8
430832.0, 2015, L, 131, 24, 6, 1, 5, 26, 19, 1, 0
430832.0, 2015, R, 535, 112, 23, 2, 35, 84, 87, 1, 5
488689.0, 2014, L, 1, 0, 0, 0, 0, 0, 1, 0, 0
488689.0, 2014, R, 7, 0, 0, 0, 0, 1, 1, 0, 0
488689.0, 2015, L, 5, 3, 0, 0, 0, 1, 0, 0, 1
488689.0, 2015, R, 61, 11, 1, 0, 0, 6, 14, 1, 1
493596.0, 2014, L, 130, 34, 10, 0, 2, 9, 20, 1, 2
493596.0, 2014, R, 353, 67, 17, 0, 7, 13, 61, 1, 5
493596.0, 2015, L, 99, 19, 1, 0, 3, 8, 14, 1, 2
493596.0, 2015, R, 138, 25, 7, 0, 3, 11, 29, 0, 0
542921.0, 2015, L, 114, 25, 3, 3, 5, 5, 33, 0, 0
542921.0, 2015, R, 109, 20, 4, 1, 4, 8, 36, 0, 3
474832.0, 2014, L, 71, 17, 2, 0, 2, 5, 14, 0, 1
474832.0, 2014, R, 164, 35, 6, 0, 10, 13, 50, 2, 1
474832.0, 2015, L, 145, 34, 10, 0, 5, 14, 41, 0, 2
474832.0, 2015, R, 411, 104, 23, 5, 13, 42, 106, 2, 2
134181.0, 2014, L, 156, 46, 10, 0, 5, 22, 19, 5, 1
134181.0, 2014, R, 458, 132, 23, 1, 14, 35, 55, 8, 2
134181.0, 2015, L, 215, 59, 11, 2, 10, 23, 23, 2, 0
134181.0, 2015, R, 404, 104, 21, 2, 8, 18, 42, 2, 3
136860.0, 2014, L, 153, 28, 9, 0, 3, 9, 32, 2, 0
136860.0, 2014, R, 296, 66, 14, 0, 12, 28, 48, 0, 4
136860.0, 2015, L, 154, 36, 10, 1, 5, 10, 25, 2, 1
136860.0, 2015, R, 377, 96, 24, 0, 14, 35, 60, 0, 1
465668.0, 2014, L, 14, 2, 0, 0, 0, 0, 3, 0, 1
465668.0, 2014, R, 66, 9, 3, 0, 1, 10, 16, 0, 2
450641.0, 2014, L, 1, 0, 0, 0, 0, 0, 1, 0, 0
450641.0, 2014, R, 1, 0, 0, 0, 0, 0, 0, 0, 0
